"User"
"@eangonzalez710 12 days ago Showcase was better than i thought 784 Reply"
"@TWAAAAACKS 12 days ago Easily has to be one of the best shows Xbox has ever put together 600 Reply"
"@VileSinner666 12 days ago Xbox delivered this year man. 141 Reply"
"@RpgCrow 12 days ago 9.5/10 340 Reply"
"@Guwapanese 12 days ago GEARS OF WAR E-DAY 242 Reply"
"@audenghaley 12 days ago Perfect Dark and Gears Of War are back babies! 146 Reply"
"@jessanpa2571 12 days ago Best showcase in years hands down 115 Reply"
"@durotan5245 12 days ago Best showcase ever. 176 Reply"
"@stanleytoussaint6051 12 days ago (edited) 10/10 Congrat XBOX !!!!! 191 Reply"
"@vladshumilov9932 12 days ago Boy they delivered, great job XBOX  107 Reply"
"@lenardregencia 11 days ago XboX finally using the Infinity Stones. 27 Reply"
"@EGPIKA3 12 days ago Best showcase ever  160 Reply"
"@sadboii_x666 12 days ago Definitely was better than PlayStations event 146 Reply"
"@jackfosterjuravlss4231 12 days ago 10/10! Xbox Showcase 2024 56 Reply"
"@RevivedSaiyan 12 days ago Perfect dark and gears had me and my brother yelling the title as soon as we saw ""Carrington"" and the coalition symbol on the tv.  150 Reply"
"@scott_casper 12 days ago WOOOOOO!!! STATE OF DECAY 3!!!!! 89 Reply"
"@jAms.A 12 days ago One of the best showcases I’ve seen from Xbox️ 35 Reply"
"@backgroundplaylist 12 days ago The best ever, congrats Xbox!!!! 32 Reply"
"@AliAbidalkareem 12 days ago Amazing showcase. Congrats Xbox. 24 Reply"
"@Mr_pea_manxd 12 days ago 3 new Xbox consoles With an awesome showcase?! Geez Xbox you're making me proud. 50 Reply"
"@eangonzalez710 12 days ago Showcase was better than i thought 784 Reply"
"@TWAAAAACKS 12 days ago Easily has to be one of the best shows Xbox has ever put together 600 Reply"
"@VileSinner666 12 days ago Xbox delivered this year man. 141 Reply"
"@RpgCrow 12 days ago 9.5/10 340 Reply"
"@Guwapanese 12 days ago GEARS OF WAR E-DAY 242 Reply"
"@audenghaley 12 days ago Perfect Dark and Gears Of War are back babies! 146 Reply"
"@jessanpa2571 12 days ago Best showcase in years hands down 115 Reply"
"@durotan5245 12 days ago Best showcase ever. 176 Reply"
"@stanleytoussaint6051 12 days ago (edited) 10/10 Congrat XBOX !!!!! 191 Reply"
