User,Comments,Likes,Date
@LJ101,"Astro Bot stole the show, that's actually sad for the other games",1,2 weeks ago
@ashennyx8820,Montset hunter lookin sick!,9,2 weeks ago
@MadRetro00,"Were the free gunner crew of the North Star, and together were going to flop harder than Marvels Avengers",5,2 weeks ago
@wayneswirl,This could have been an email energy,192,2 weeks ago
@arkham_inmate9935,Astrobot was literally the best game they showed,161,2 weeks ago
               @brizwastakened             ,give us another littlebigplanet it’s been a decade ,412,2 weeks ago
@XxNuuruhuinexX,That black PS5 at the 33:40 mark looked real nice. Is that a new model or variant?,167,2 weeks ago
@Jarrod0306,I want a new Infamous,4,3 weeks ago
@cookingsauce8274,Alright bloodborne fans time to get our clown makeup ready,2,3 weeks ago
@PiMpiNx187,No games modern gaming at its finest,250,2 weeks ago
@budala1969,Literally nothing of interest... guess the ps5 will continue collecting dust,750,2 weeks ago
@PrimeExcellence0,Alright guys who’s ready for the Overwatch Clone that took 6 FULL MINUTES to introduce any gameplay,0,2 weeks ago
@rtuumm,Concord being an arena Shooter is Mega disappointing. Another Live Service I won't be touching.,109,2 weeks ago
@GamesTodayStreamXY,Xbox was better than this State of play ,789,10 days ago
@backyardr.c.6280,We want single player games with decent graphics and amazing narratives and gameplay. Open sourced engines for moding. Take risks like your predecessors. Actually innovate instead of rehashing boring styles. We want to play finished games with no need for DLCs and definitely NO MICROTRANSACTIONS!!,2,2 weeks ago
@chrisrivers4560,"Concord looked like a promising game until it turned out to be a team fps. How many 5v5 multiplayer games are there now, and how long are people going to care about this one?",1,2 weeks ago
@jzilla003,Gordon ramsey gotta get ps out the kitchen cuz they werent cooking for this,255,2 weeks ago
@trionghost,Astro Bot rules. I hope it'll have split screen mode to play together with family. It's so few games for family on PS5 ~_~.,292,2 weeks ago
@NerdBaconReviews,Remember when Sony gaming events were hype ,2,2 weeks ago
@gvstt,Astrobot is the most interesting game shown here,2,2 weeks ago
@ochamp121212,The thing about concord is when you hit something it looks like it has no impact at all,286,2 weeks ago
@saulbeltran2842,Astro bot is one we cannot hate on,36,4 days ago
@decoyfox,"It's cute they think we're going to pay for their knockoff overwatch clone, Concord is DOA",2,2 weeks ago
@Harryjordan,It feels like Playstation is trying their hardest to not make money,172,2 weeks ago
@aliiibamaaa2193,I think this years PlayStation state of play drop the bombs honestly. Side note....Final Fantasy 7 Rebirth was by far the best for PlayStation 5 and also they deserve games of the years without questions,479,2 weeks ago
