Name,Username,Comments,Date,Hour,Replies,Retweet,Likes,Location,Verified,Blue Verified
Mountain Dew Gaming,@MTNDEWGaming,@Xbox This a W for gamers everywhere,6/10/2024,08:19:23 PM,3,0,57,Unknown,false,false
Peter Fuchs,@PeterFuchsVivio,@Xbox What a Cortana suggest...,6/9/2024,08:43:36 PM,0,0,0,Unknown,false,false
PLAY NOVA GERAÇÃO🕹️,@PlayNG2,@Xbox Liberem o Forza Horizon 5 no PS5 😉 https://t.co/NqRkk4VffX,6/20/2024,07:20:35 PM,0,0,0,Unknown,false,true
Pyo 5️⃣,@mrpyo1,"@Xbox W show, no way around it",6/9/2024,08:37:33 PM,1,0,178,Unknown,false,false
PZZϟAZZ 💎,@thePZZAZZ,@Xbox 🤏🏻 (*that close.),6/9/2024,08:41:15 PM,0,0,0,Unknown,false,true
Rebellion,@Rebellion,@Xbox What a line-up 💚💚💚,6/9/2024,08:28:39 PM,2,1,84,United Kingdom,false,false
RedRumForever,@RedRumForever,@Xbox The showcase was out of this world.,6/9/2024,10:13:57 PM,0,0,0,Unknown,false,false
rekhan,@Biryani_Bro,@Xbox Can you guys release a ps5 version of fallout 76 with 4K/120 hz support,6/9/2024,08:51:50 PM,3,0,2,Unknown,false,true
RetroGaming (RUL3R),@RetroLan,@Xbox IN LOVE with this Doomslayer design jesus. https://t.co/GdCWyHgoMy,6/9/2024,10:04:59 PM,1,0,1,United States,false,false
RG | Sergeant Sentinel Gaming 🇺🇸🎮,@SSGSentinel,"@Xbox Well done, Xbox. ",6/9/2024,10:13:57 PM,0,0,0,Unknown,false,false
Rich,@richXphoto,@Xbox “Wake me when you need me”,6/9/2024,08:24:59 PM,0,0,5,United States,false,true
rickymakesbadvideos,@rickymakescrap,@Xbox When is the CoD back catalogue coming to GamePass?,6/9/2024,10:56:37 PM,0,0,0,England,false,true
Roller Stoner,@Rollerdiestwice,@Xbox https://t.co/UADTas1XB5,6/9/2024,09:42:50 PM,0,0,0,Unknown,false,true
Royalty,@Royaltyboxing19,@Xbox Pretty mid list icl,6/10/2024,10:28:05 PM,2,0,1,Unknown,false,true
S.T.A.L.K.E.R. OFFICIAL,@stalker_thegame,@Xbox Great company for a great evening.,6/10/2024,01:36:02 AM,8,15,747,Ukraine,false,true
Sean Petty,@seildor,@Xbox My jaw dropped when the doom trailer started and I didn’t pick it up until the gears reveal. Well done! https://t.co/9RS94SsR5v,6/9/2024,09:32:29 PM,2,0,85,Unknown,false,false
